City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
60,Sur,OM,22.5667,59.5289,67.21,58,2,4.45,clear sky,2021-01-17 23:03:32
61,Hami,CN,42.8,93.45,13.66,76,0,3.24,clear sky,2021-01-17 23:03:32
62,Shingu,JP,33.7333,135.9833,35.6,64,20,10.36,few clouds,2021-01-17 23:02:01
63,Victor Harbor,AU,-35.5667,138.6167,62.01,82,95,3.0,overcast clouds,2021-01-17 23:03:32
64,Kruisfontein,ZA,-34.0033,24.7314,68.0,77,68,7.29,broken clouds,2021-01-17 23:02:28
65,Airai,TL,-8.9266,125.4092,63.72,100,100,1.28,light rain,2021-01-17 23:03:32
66,Koboko,UG,3.4136,30.9599,70.43,28,20,3.47,few clouds,2021-01-17 23:03:33
67,Gat,IL,31.61,34.7642,53.01,100,73,1.01,light rain,2021-01-17 23:03:33
68,Kutum,SD,14.2,24.6667,55.35,33,0,8.14,clear sky,2021-01-17 23:03:11
69,Lebu,CL,-37.6167,-73.65,58.5,81,0,20.47,clear sky,2021-01-17 23:03:33
70,College,US,64.8569,-147.8028,5.0,85,75,2.3,broken clouds,2021-01-17 23:01:21
71,Mataura,NZ,-46.1927,168.8643,62.01,54,47,7.0,scattered clouds,2021-01-17 23:03:34
72,Fort-Shevchenko,KZ,44.5086,50.263,40.68,75,8,16.24,clear sky,2021-01-17 23:03:34
73,Roald,NO,62.5833,6.1333,41.0,70,40,8.05,scattered clouds,2021-01-17 23:03:34
74,Ixtapa,MX,20.7,-105.2,71.6,78,1,6.91,clear sky,2021-01-17 23:00:14
75,Chokurdakh,RU,70.6333,147.9167,-26.07,86,100,7.25,overcast clouds,2021-01-17 23:03:35
76,Maceio,BR,-9.6658,-35.7353,75.2,88,0,5.75,clear sky,2021-01-17 23:03:35
77,Arman,RU,59.7,150.1667,-13.4,86,100,17.05,overcast clouds,2021-01-17 23:03:35
78,Jamestown,US,42.097,-79.2353,33.01,93,90,6.91,light snow,2021-01-17 22:58:51
79,Shihezi,CN,44.3,86.0333,-4.68,87,0,0.96,clear sky,2021-01-17 23:03:37
80,Port Lincoln,AU,-34.7333,135.8667,61.39,75,100,11.54,overcast clouds,2021-01-17 23:03:37
81,Padang,ID,-0.9492,100.3543,75.2,94,75,2.3,light rain,2021-01-17 23:03:37
82,Touros,BR,-5.1989,-35.4608,78.8,78,20,6.91,few clouds,2021-01-17 23:03:37
83,Kampar,MY,4.3,101.15,77.0,83,20,3.44,few clouds,2021-01-17 23:00:25
84,Busselton,AU,-33.65,115.3333,69.01,59,19,1.99,few clouds,2021-01-17 23:01:35
85,Hermanus,ZA,-34.4187,19.2345,66.0,81,6,4.0,clear sky,2021-01-17 23:03:38
86,Kralendijk,BQ,12.15,-68.2667,78.8,78,30,9.22,scattered clouds,2021-01-17 23:03:38
87,Owando,CG,-0.4819,15.8999,71.29,92,94,1.41,light rain,2021-01-17 23:03:38
88,Maragogi,BR,-9.0122,-35.2225,77.4,82,1,9.06,clear sky,2021-01-17 23:03:38
89,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.28,85,11,13.98,few clouds,2021-01-17 23:03:39
90,Abaza,RU,52.655,90.0928,13.77,90,44,4.56,scattered clouds,2021-01-17 23:03:39
91,Palkino,RU,57.5409,28.0126,15.8,92,92,4.47,light snow,2021-01-17 23:03:39
92,Hagondange,FR,49.2513,6.1681,36.0,92,100,1.99,overcast clouds,2021-01-17 23:03:39
93,Ahipara,NZ,-35.1667,173.1667,68.2,56,32,12.28,scattered clouds,2021-01-17 23:03:39
94,Richards Bay,ZA,-28.783,32.0377,71.58,88,73,7.02,broken clouds,2021-01-17 23:03:39
95,Ponta Do Sol,PT,32.6667,-17.1,59.0,63,75,5.75,broken clouds,2021-01-17 23:03:40
96,Xingcheng,CN,40.6167,120.7167,12.52,79,65,13.69,broken clouds,2021-01-17 23:03:40
97,Shimoda,JP,34.6667,138.95,34.0,80,57,1.01,broken clouds,2021-01-17 23:03:40
98,Longyearbyen,SJ,78.2186,15.6401,19.4,68,75,32.21,light snow,2021-01-17 23:03:40
99,Mao,ES,39.8885,4.2658,50.0,71,40,18.41,scattered clouds,2021-01-17 23:03:40
100,Yar-Sale,RU,66.8333,70.8333,-13.13,89,100,16.11,light snow,2021-01-17 23:03:40
101,Lasa,IT,46.6166,10.7002,30.0,74,75,6.91,broken clouds,2021-01-17 23:02:44
102,Upernavik,GL,72.7868,-56.1549,12.2,86,62,8.52,broken clouds,2021-01-17 23:03:41
103,Along,IN,28.1667,94.7667,51.49,71,0,1.9,clear sky,2021-01-17 23:03:41
104,Flinders,AU,-34.5833,150.8552,75.99,63,13,1.01,few clouds,2021-01-17 23:03:41
105,Geraldton,AU,-28.7667,114.6,82.4,54,79,5.75,broken clouds,2021-01-17 23:03:41
106,Vaini,TO,-21.2,-175.2,86.0,74,75,13.8,broken clouds,2021-01-17 23:03:42
107,Kushiro,JP,42.975,144.3747,8.6,92,20,5.75,few clouds,2021-01-17 23:01:22
108,Port Alfred,ZA,-33.5906,26.891,66.0,89,71,4.81,broken clouds,2021-01-17 23:03:42
109,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,84,90,9.22,overcast clouds,2021-01-17 23:00:54
110,Talnakh,RU,69.4865,88.3972,-8.07,77,100,5.06,overcast clouds,2021-01-17 23:03:42
111,Gizo,SB,-8.103,156.8419,84.47,74,54,11.21,broken clouds,2021-01-17 23:03:00
112,Ribeira Grande,PT,38.5167,-28.7,62.76,80,61,25.61,light rain,2021-01-17 23:03:43
113,San Lawrenz,MT,36.0553,14.204,57.0,76,40,28.77,scattered clouds,2021-01-17 23:03:43
114,Newark,US,40.7357,-74.1724,44.01,49,90,12.66,overcast clouds,2021-01-17 23:03:39
115,Kodiak,US,57.79,-152.4072,37.4,75,90,8.05,overcast clouds,2021-01-17 23:00:21
116,Georgetown,MY,5.4112,100.3354,78.8,61,20,12.66,few clouds,2021-01-17 23:01:52
117,Iskateley,RU,67.6803,53.1512,-16.11,89,14,3.18,few clouds,2021-01-17 23:03:45
118,Poum,NC,-20.2333,164.0167,83.14,78,62,9.73,moderate rain,2021-01-17 23:03:45
119,Chara,RU,56.9064,118.2631,-41.66,63,2,0.43,clear sky,2021-01-17 23:01:58
120,Boquira,BR,-12.8231,-42.7306,77.25,50,99,4.85,overcast clouds,2021-01-17 23:03:46
121,Kirakira,SB,-10.4544,161.9205,85.78,69,43,8.57,light rain,2021-01-17 23:03:46
122,Avera,US,33.194,-82.5271,48.2,49,1,3.44,clear sky,2021-01-17 23:03:46
123,Ornskoldsvik,SE,63.2909,18.7153,1.4,100,75,5.75,light snow,2021-01-17 23:03:46
124,Cherskiy,RU,68.75,161.3,-33.61,83,91,2.44,overcast clouds,2021-01-17 23:03:46
125,Khatanga,RU,71.9667,102.5,-25.64,81,0,13.89,clear sky,2021-01-17 23:01:47
126,Hermiston,US,45.8404,-119.2895,55.4,58,1,13.8,clear sky,2021-01-17 23:00:19
