City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Manzanillo,CU,77.27,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
277,Bambous Virieux,MU,80.01,broken clouds,-20.3428,57.7575,Casa Tia Villa
283,Lorengau,PG,84.97,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
284,Inhambane,MZ,78.49,light rain,-23.865,35.3833,Oceano
285,Manaure,CO,81.55,clear sky,11.7751,-72.4445,Hotel Palaaima
286,Grand Gaube,MU,80.01,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
290,San Carlos,VE,78.87,broken clouds,9.6612,-68.5827,Hotel Paternopoli
292,San Martin,AR,86.0,clear sky,-33.080999999999996,-68.4681,Finca Vivencias
293,Honiara,SB,86.67,broken clouds,-9.4333,159.95,Heritage Park Hotel
298,Ambanja,MG,75.63,light rain,-13.6833,48.45,Hotel Salama and Fast Food
307,Nanakuli,US,78.01,overcast clouds,21.3906,-158.1547,Camp Pālehua
315,Kavieng,PG,84.63,few clouds,-2.5744,150.7967,Nusa Island Retreat
317,El Tigre,VE,82.04,scattered clouds,8.8875,-64.2454,Hotel Santa Cruz
322,Carnarvon,AU,80.6,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
324,Puerto Suarez,BO,76.03,very heavy rain,-18.95,-57.8,Hotel casa real
325,Isabela,PH,77.0,moderate rain,6.7085,121.9711,Isawad Resort
329,Pacific Grove,US,80.6,clear sky,36.6177,-121.9166,Lovers Point Inn
330,General Pico,AR,81.36,clear sky,-35.6566,-63.7568,Hotel Malargue
331,Come,BJ,82.4,few clouds,6.4076,1.882,Hôtel la concorde chez Mehinnou
340,Banda Aceh,ID,78.15,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
346,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
348,Bull Savanna,JM,75.0,overcast clouds,17.8868,-77.5902,Big Red's
353,Hambantota,LK,75.51,overcast clouds,6.1241,81.1185,Bungalow 63
359,Sechura,PE,78.08,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
362,Pitimbu,BR,78.8,clear sky,-7.4706,-34.8086,Reserva do Abiaí
363,Hervey Bay,AU,84.0,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
375,Howard Springs,AU,80.6,few clouds,-12.497,131.047,buffalo beach hostel
378,Tabou,CI,78.67,clear sky,4.423,-7.3528,hotêl doufoulougou
380,Bodden Town,KY,80.6,few clouds,19.2833,-81.25,Will T Place
383,Mitu,CO,75.99,broken clouds,1.1983,-70.1733,
386,Mocuba,MZ,76.19,overcast clouds,-16.8392,36.9856,Phama Lodge
387,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Pirineos
388,Salinopolis,BR,79.79,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
391,Puerto Carreno,CO,84.07,broken clouds,6.189,-67.4859,Casa Hotel Victoria
399,Namatanai,PG,84.49,broken clouds,-3.6667,152.4333,Namatanai Hotel
411,Tatui,BR,75.0,light rain,-23.3556,-47.8569,Hostel Brigadeiro Jordao
413,Ariquemes,BR,75.13,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
421,Sola,VU,84.2,broken clouds,-13.8833,167.55,Leumerus Bungalows
424,Kahului,US,80.6,light rain,20.8947,-156.47,Maui Seaside Hotel
431,Moerai,PF,80.91,few clouds,-22.4333,-151.3333,Le Manotel
435,Sambava,MG,77.36,light rain,-14.2667,50.1667,Melrose
438,Coahuayana,MX,80.6,broken clouds,18.7333,-103.6833,Hotel Los Arcos
440,The Valley,AI,78.8,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
441,Manaquiri,BR,84.2,few clouds,-3.3167,-60.35,
444,Ampanihy,MG,75.24,overcast clouds,-24.7,44.75,Angora Hotel
455,Alyangula,AU,78.8,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
459,Kieta,PG,83.91,light rain,-6.2167,155.6333,
462,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
465,Cape Coast,GH,79.45,few clouds,5.1053,-1.2466,Samrit Hotel
471,Matadi,CD,75.65,broken clouds,-5.8167,13.45,Hotel Fortune
474,Kavaratti,IN,81.39,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
490,Alice Springs,AU,77.0,clear sky,-23.7,133.8833,Desert Palms Alice Springs
493,Malakal,SS,77.58,scattered clouds,9.5334,31.6605,Nile Palace Hotel
496,Vao,NC,77.07,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
502,Roura,GF,80.6,broken clouds,4.7263,-52.3274,Amazonie Découverte SARL
503,Teahupoo,PF,87.8,scattered clouds,-17.8333,-149.2667,Vanira Lodge
506,Quatre Cocos,MU,80.01,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
513,Oriximina,BR,80.82,light rain,-1.7656,-55.8661,Pousada Tia Amélia
520,San Policarpo,PH,79.47,overcast clouds,12.1791,125.5072,JM Lodge
524,Waingapu,ID,79.21,light rain,-9.6567,120.2641,Pondok Wisata Elim
527,Palu,ID,76.62,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
529,Kulhudhuffushi,MV,81.34,moderate rain,6.6221,73.07,Haajy Guest House 1
539,Ilhabela,BR,78.1,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
